País,Fecha de estudio,Enfermedad,Categoría,Ratios,Rango edad,Género,Tipo de tratamiento,Coste medio tratamiento (USD),Disponibilidad de vacuna/tratamiento
India,02/01/2021,VIH/SIDA,Autoinmune,0.91;90.99,0 - 18,Masculino,Vacunación,34298,S
Argentina,02/08/2022,Malaria,Infecciosa,0.8;85.83,0 - 18,Ambos,Terapia,23043,S
India,19/09/2021,Hepatitis,Genética,0.75;88.11,61+,Ambos,Medicación,5839,N
Canadá,24/01/2021,COVID-19,Neurológica,0.68;72.07,18+,Masculino,Vacunación,29404,N
Nigeria,21/11/2021,Malaria,Metabólica,0.57;52.29,19 - 35,Ambos,Medicación,30798,N
Sudáfrica,27/09/2020,Ébola,Metabólica,0.42;79.08,61+,Ambos,Medicación,23918,N
Rusia,21/05/2020,COVID-19,Respiratoria,0.37;74.72,18+,Ambos,Vacunación,21406,S
Indonesia,15/04/2020,Enfermedad de Alzheimer,Neurológica,9.97;65.41,0 - 18,Masculino,Vacunación,25985,S
México,08/08/2020,Diabetes,Neurológica,9.95;51.75,61+,Femenino,Terapia,3756,N
China,09/06/2024,COVID-19,Bacteriana,9.93;96.5,18+,Ambos,Terapia,16375,N
Korea del Sur,05/11/2022,Zika,Cardiovascular,9.85;72.01,61+,Femenino,Vacunación,17161,N
Turquía,22/05/2021,Hipertensión,Viral,9.7;91.2,61+,Masculino,Vacunación,28506,N
Arabia Saudita,19/01/2021,Gripe,Respiratoria,9.62;54.88,36 - 60,Ambos,Vacunación,23842,N
EEUU,03/11/2024,Rabia,Parasitaria,9.61;66.6,36 - 60,Femenino,Medicación,279,S
Argentina,16/03/2020,Gripe,Crónica,9.56;83.75,61+,Masculino,Vacunación,13114,S
Canadá,16/09/2020,Hepatitis,Neurológica,9.51;84.94,0 - 18,Masculino,Cirugía,26047,N
EEUU,07/06/2022,Sarampión,Viral,9.51;69.7,18+,Masculino,Terapia,49194,N
Sudáfrica,20/12/2021,Rabia,Parasitaria,9.47;78.56,61+,Femenino,Medicación,38844,N
Nigeria,21/09/2021,Rabia,Genética,9.39;56.64,36 - 60,Masculino,Medicación,14057,S
Italia,16/07/2024,COVID-19,Viral,9;50.09,19 - 35,Masculino,Vacunación,34821,N
Alemania,22/11/2022,Asma,Respiratoria,8.98;74.55,36 - 60,Ambos,Terapia,31114,S
Nigeria,26/08/2024,Tuberculosis,Bacteriana,8.66;93.58,0 - 18,Femenino,Terapia,28533,N
Reino Unido,19/09/2023,Hepatitis,Viral,8.53;56.01,19 - 35,Femenino,Medicación,2271,N
Sudáfrica,05/04/2020,Cólera,Bacteriana,8.41;96.55,36 - 60,Masculino,Vacunación,32553,S
México,14/01/2023,VIH/SIDA,Cardiovascular,8.31;67.25,61+,Masculino,Cirugía,36793,N
Brasil,29/04/2022,Lepra,Metabólica,8.28;93.05,36 - 60,Femenino,Medicación,44941,S
Francia,17/04/2022,Rabia,Cardiovascular,8.28;71.56,19 - 35,Femenino,Terapia,34969,S
India,24/04/2023,Rabia,Viral,8.1;77.31,36 - 60,Femenino,Medicación,24890,S
Sudáfrica,27/02/2022,Rabia,Neurológica,7.97;86.02,19 - 35,Masculino,Medicación,17028,S
Arabia Saudita,14/05/2024,Hepatitis,Crónica,7.97;67.78,0 - 18,Femenino,Medicación,49078,S
Australia,14/08/2020,Poliomielitis,Parasitaria,7.82;68.74,0 - 18,Femenino,Medicación,31283,N
EEUU,04/05/2021,Malaria,Viral,7.6;71.14,0 - 18,Masculino,Terapia,29415,N
Arabia Saudita,18/09/2021,Dengue,Viral,7.54;80.49,36 - 60,Femenino,Terapia,49695,S
Korea del Sur,30/01/2020,COVID-19,Neurológica,7.49;84.08,61+,Femenino,Cirugía,43955,S
Argentina,29/06/2020,Malaria,Genética,7.39;88.54,61+,Masculino,Cirugía,48454,N
Nigeria,27/04/2020,Zika,Metabólica,7.37;58.09,19 - 35,Masculino,Terapia,36235,N
México,15/05/2022,Hipertensión,Autoinmune,7.12;70.1,0 - 18,Femenino,Medicación,12292,N
China,02/12/2024,COVID-19,Parasitaria,7.04;63.41,19 - 35,Femenino,Cirugía,40194,N
Japón,04/02/2021,Sarampión,Parasitaria,6.85;92.42,61+,Femenino,Terapia,27156,N
Korea del Sur,10/05/2021,Hipertensión,Autoinmune,6.84;90.83,61+,Ambos,Cirugía,29910,S
Japón,10/11/2023,Hepatitis,Crónica,6.77;74.07,61+,Ambos,Terapia,21843,S
Japón,17/11/2021,Hipertensión,Parasitaria,6.42;92.91,61+,Masculino,Vacunación,18684,S
Arabia Saudita,27/07/2022,Tuberculosis,Viral,6.36;84.74,0 - 18,Masculino,Medicación,5037,N
Rusia,11/02/2020,Dengue,Cardiovascular,6.26;59.11,0 - 18,Masculino,Vacunación,15686,N
Sudáfrica,28/01/2022,COVID-19,Neurológica,6.1;56.57,35+,Ambos,Terapia,23003,S
Turquía,08/04/2020,Rabia,Genética,6;66.2,61+,Masculino,Cirugía,14630,S
Francia,04/12/2020,COVID-19,Viral,5.76;56.68,61+,Femenino,Vacunación,21400,S
Indonesia,03/03/2023,Asma,Infecciosa,5.49;79.04,19 - 35,Femenino,Terapia,42702,N
India,20/09/2021,COVID-19,Crónica,5.31;50.38,0 - 18,Ambos,Medicación,43090,S
Turquía,23/05/2022,Sarampión,Parasitaria,4.95;93.72,35+,Femenino,Medicación,27738,N
Argentina,23/09/2024,Tuberculosis,Bacteriana,4.75;77.1,61+,Masculino,Medicación,45235,S
Italia,18/03/2024,Rabia,Neurológica,4.57;92.89,0 - 18,Masculino,Terapia,49917,N
Canadá,17/01/2021,Hepatitis,Autoinmune,4.36;88.07,19 - 35,Femenino,Cirugía,1291,S
Italia,03/10/2022,Tuberculosis,Parasitaria,4.33;96.62,61+,Masculino,Terapia,19192,N
Indonesia,07/10/2022,Poliomielitis,Genética,4.23;58.49,35+,Ambos,Vacunación,30487,N
China,28/02/2023,Cólera,Genética,4.22;95.18,0 - 18,Femenino,Terapia,26451,S
India,08/05/2022,COVID-19,Respiratoria,4.15;72.05,61+,Ambos,Vacunación,29438,N
Nigeria,03/09/2020,Gripe,Crónica,4.07;60.46,0 - 18,Ambos,Terapia,47873,S
Brasil,31/12/2024,Malaria,Infecciosa,3.94;95.59,19 - 35,Femenino,Vacunación,16965,S
Reino Unido,30/08/2022,Diabetes,Crónica,3.93;70.78,0 - 18,Femenino,Cirugía,40879,N
Japón,12/07/2021,Zika,Parasitaria,3.73;74.15,18+,Masculino,Vacunación,39923,N
Australia,15/11/2020,Hepatitis,Autoinmune,3.65;72.72,36 - 60,Femenino,Vacunación,15400,S
Argentina,23/09/2021,VIH/SIDA,Infecciosa,3.6;94.1,19 - 35,Masculino,Terapia,11528,S
Arabia Saudita,19/04/2020,Tuberculosis,Genética,3.51;83.67,61+,Masculino,Medicación,22288,N
Rusia,01/03/2020,Enfermedad de Parkinson,Genética,3.03;58.68,20+,Femenino,Terapia,8541,N
Indonesia,19/03/2022,Diabetes,Cardiovascular,2.96;62.18,0 - 18,Ambos,Terapia,3339,S
Nigeria,13/06/2020,Rabia,Infecciosa,2.47;93.92,61+,Femenino,Vacunación,5031,N
México,09/10/2022,VIH/SIDA,Neurológica,2.26;70.56,19 - 35,Femenino,Terapia,40571,S
Alemania,27/02/2020,Poliomielitis,Cardiovascular,2.21;97.51,61+,Masculino,Terapia,19820,S
Argentina,30/10/2020,Asma,Bacteriana,2.14;66.39,19 - 35,Masculino,Medicación,423,S
Indonesia,07/12/2023,Lepra,Neurológica,2.12;84.78,36 - 60,Masculino,Medicación,47932,N
Indonesia,20/11/2020,COVID-19,Infecciosa,1.92;66.03,61+,Masculino,Medicación,18629,N
Italia,25/07/2022,Dengue,Crónica,1.88;52.75,61+,Masculino,Medicación,24432,S
Nigeria,15/04/2021,Asma,Parasitaria,1.66;55.55,36 - 60,Masculino,Vacunación,36863,S
Nigeria,23/02/2021,Asma,Neurológica,1.57;85.97,61+,Ambos,Cirugía,5858,N
Italia,26/06/2023,Cáncer,Viral,1.5;78.99,0 - 18,Ambos,Terapia,44480,S
Nigeria,08/07/2022,Poliomielitis,Genética,1.13;89.4,36 - 60,Femenino,Terapia,34758,N
Nigeria,19/04/2024,Dengue,Parasitaria,1.06;73.13,36 - 60,Masculino,Terapia,17819,S
Nigeria,17/09/2024,Cólera,Infecciosa,0.95;55.75,61+,Ambos,Vacunación,1332,N
México,13/07/2022,Cáncer,Genética,0.76;79.31,61+,Masculino,Terapia,20384,N
EEUU,21/06/2020,Dengue,Infecciosa,0.75;91.74,61+,Ambos,Cirugía,23575,N
India,07/02/2020,Diabetes,Respiratoria,0.69;77.33,61+,Ambos,Cirugía,11885,N
México,10/09/2021,Cólera,Infecciosa,0.68;65.61,0 - 18,Masculino,Vacunación,45775,S
Italia,18/04/2024,Zika,Parasitaria,0.67;97.41,19 - 35,Masculino,Medicación,40121,S
Japón,03/06/2024,Enfermedad de Parkinson,Crónica,0.61;51.81,18+,Ambos,Medicación,40628,N
Nigeria,01/10/2020,Gripe,Neurológica,0.52;96.33,36 - 60,Ambos,Medicación,45520,N
Arabia Saudita,27/03/2023,Zika,Neurológica,0.49;70.78,0 - 18,Femenino,Medicación,11424,S
Turquía,22/03/2023,Poliomielitis,Crónica,0.39;79.63,61+,Femenino,Cirugía,18131,N
Turquía,19/04/2021,Zika,Bacteriana,0.38;71.84,61+,Femenino,Medicación,47020,S
México,10/12/2023,Asma,Crónica,0.31;53.44,0 - 18,Ambos,Cirugía,18295,S
Nigeria,10/06/2024,Gripe,Cardiovascular,9.91;62.48,36 - 60,Femenino,Vacunación,31214,N
Nigeria,11/06/2022,Asma,Bacteriana,9.83;71.15,19 - 35,Ambos,Vacunación,13204,N
Japón,28/03/2022,VIH/SIDA,Bacteriana,9.8;51.96,19 - 35,Femenino,Cirugía,24569,N
Italia,14/04/2021,Rabia,Crónica,9.76;61.18,0 - 18,Femenino,Terapia,6709,N
Alemania,20/08/2021,Tuberculosis,Infecciosa,9.53;79.92,35+,Femenino,Vacunación,23283,S
Japón,26/08/2020,Zika,Genética,9.43;76.9,0 - 18,Masculino,Medicación,27383,N
Reino Unido,21/11/2021,Poliomielitis,Autoinmune,9.42;84.07,61+,Masculino,Terapia,38388,S
Australia,26/03/2020,Cáncer,Respiratoria,9.35;95.96,61+,Masculino,Terapia,40495,N
Australia,02/05/2023,Zika,Metabólica,9.33;74.53,0 - 18,Ambos,Terapia,13342,S
Japón,20/08/2023,Gripe,Cardiovascular,9.27;60.11,0 - 18,Femenino,Medicación,26352,N
Korea del Sur,18/04/2022,VIH/SIDA,Crónica,9.2;66.81,19 - 35,Ambos,Medicación,1862,S
Australia,22/05/2020,VIH/SIDA,Metabólica,9.08;67.05,0 - 18,Masculino,Cirugía,18755,N
Rusia,01/09/2022,Dengue,Genética,9.05;80,0 - 18,Masculino,Medicación,8765,S
Argentina,24/09/2021,Enfermedad de Alzheimer,Viral,8.92;75.72,61+,Femenino,Medicación,32642,N
Alemania,08/12/2021,Zika,Viral,8.79;63.3,19 - 35,Ambos,Medicación,26070,N
Alemania,02/05/2020,Enfermedad de Parkinson,Viral,8.43;58.82,19 - 35,Ambos,Vacunación,27528,N
Nigeria,09/01/2024,Asma,Viral,8.28;87.07,35+,Ambos,Medicación,49030,N
Nigeria,10/04/2022,Enfermedad de Alzheimer,Metabólica,8.04;65.19,0 - 18,Femenino,Medicación,48270,S
Turquía,09/04/2021,Lepra,Infecciosa,8;94.77,61+,Masculino,Terapia,7689,S
Argentina,03/01/2021,Enfermedad de Alzheimer,Parasitaria,7.87;96.27,19 - 35,Ambos,Medicación,14834,N
Argentina,22/05/2024,Ébola,Neurológica,7.45;70.07,36 - 60,Masculino,Medicación,9534,N
Reino Unido,10/07/2022,Poliomielitis,Viral,7.36;92.92,61+,Masculino,Medicación,27983,S
Turquía,17/02/2023,Malaria,Viral,7.34;85.75,19 - 35,Femenino,Medicación,40222,S
Indonesia,18/09/2024,Asma,Genética,7.24;57.94,61+,Masculino,Terapia,47202,N
Turquía,13/05/2020,Gripe,Genética,7.15;97.34,36 - 60,Ambos,Vacunación,12695,N
Australia,26/02/2022,Ébola,Neurológica,6.33;72.77,0 - 18,Ambos,Terapia,17189,N
Arabia Saudita,28/09/2024,Hipertensión,Viral,6.22;98.84,0 - 18,Femenino,Vacunación,20114,S
México,30/09/2022,Tuberculosis,Parasitaria,6.13;96.36,61+,Femenino,Cirugía,6081,S
Australia,20/10/2020,Gripe,Neurológica,5.93;65.69,0 - 18,Femenino,Cirugía,7375,S
Australia,05/03/2023,Sarampión,Viral,5.69;82.93,0 - 18,Femenino,Terapia,44034,S
Alemania,08/02/2023,Malaria,Crónica,5.48;65.14,19 - 35,Masculino,Terapia,7097,N
Brasil,30/10/2022,Enfermedad de Parkinson,Infecciosa,5.4;63.96,61+,Masculino,Terapia,43383,S
India,15/01/2020,Tuberculosis,Infecciosa,5.01;60.66,61+,Masculino,Vacunación,20087,N
Indonesia,23/08/2023,Dengue,Genética,4.96;98.18,61+,Ambos,Cirugía,7673,S
Brasil,14/01/2022,Sarampión,Bacteriana,4.9;85.14,61+,Masculino,Terapia,42058,S
Korea del Sur,17/01/2021,VIH/SIDA,Metabólica,4.71;78.45,18+,Femenino,Medicación,11565,S
China,04/12/2024,Enfermedad de Alzheimer,Metabólica,4.25;81.29,61+,Ambos,Cirugía,2431,N
Francia,25/06/2021,Lepra,Neurológica,4.09;76.85,0 - 18,Femenino,Vacunación,23291,N
Australia,23/09/2024,Malaria,Metabólica,4.08;70.2,0 - 18,Ambos,Cirugía,42073,N
EEUU,21/04/2023,Gripe,Bacteriana,3.98;74.97,36 - 60,Masculino,Cirugía,37781,N
Arabia Saudita,05/08/2020,Malaria,Bacteriana,3.94;84.6,0 - 18,Masculino,Terapia,48366,N
Francia,08/02/2020,Diabetes,Parasitaria,3.94;54.53,19 - 35,Ambos,Vacunación,9280,S
Canadá,14/11/2021,Malaria,Neurológica,3.15;62.04,0 - 18,Femenino,Terapia,15022,N
Francia,14/08/2021,Hipertensión,Infecciosa,3.06;93.78,18+,Ambos,Vacunación,38122,S
Argentina,08/09/2024,Enfermedad de Alzheimer,Metabólica,2.74;86.77,61+,Femenino,Vacunación,3507,S
EEUU,27/04/2020,COVID-19,Viral,2.58;63.31,36 - 60,Masculino,Vacunación,37236,N
Japón,30/08/2022,Tuberculosis,Neurológica,2.5;86.13,0 - 18,Ambos,Cirugía,49577,S
Arabia Saudita,15/05/2021,Dengue,Bacteriana,2.45;86.17,36 - 60,Ambos,Terapia,24976,S
Japón,31/08/2020,Enfermedad de Alzheimer,Parasitaria,2.35;97.59,0 - 18,Femenino,Terapia,11046,S
China,02/03/2023,Ébola,Parasitaria,2.35;60.11,0 - 18,Masculino,Vacunación,1820,S
Sudáfrica,14/08/2022,Ébola,Infecciosa,2.11;52.32,19 - 35,Masculino,Terapia,11377,N
Turquía,03/05/2022,Cólera,Infecciosa,2.09;98.08,61+,Masculino,Vacunación,48674,S
Italia,07/01/2024,Dengue,Viral,2.04;68.25,0 - 18,Ambos,Terapia,44025,S
Indonesia,20/09/2024,Malaria,Respiratoria,1.8;97.09,36 - 60,Masculino,Medicación,47509,N
Turquía,21/01/2020,Poliomielitis,Parasitaria,1.62;88.68,19 - 35,Ambos,Terapia,29222,S
México,15/05/2022,Lepra,Respiratoria,1.59;78.58,19 - 35,Masculino,Cirugía,36924,N
Francia,17/09/2022,COVID-19,Metabólica,1.5;83.43,36 - 60,Masculino,Medicación,23787,S
Reino Unido,28/02/2021,Poliomielitis,Infecciosa,1.43;58.95,35+,Ambos,Vacunación,32025,N
Turquía,21/09/2020,COVID-19,Autoinmune,1.38;73.42,19 - 35,Masculino,Cirugía,33811,N
China,08/06/2022,Hipertensión,Respiratoria,1.35;71.51,36 - 60,Ambos,Medicación,22940,S
Australia,28/02/2020,Hepatitis,Infecciosa,1.14;77.93,0 - 18,Femenino,Medicación,24548,S
Brasil,01/05/2022,Hepatitis,Autoinmune,0.99;79.86,61+,Ambos,Medicación,2671,S
Australia,24/08/2021,Enfermedad de Alzheimer,Parasitaria,0.96;66.23,0 - 18,Masculino,Medicación,30148,N
Indonesia,18/11/2020,Dengue,Viral,0.95;82.65,19 - 35,Femenino,Medicación,32155,N
Nigeria,22/04/2020,Rabia,Respiratoria,0.86;56.2,61+,Masculino,Terapia,803,N
Argentina,17/02/2023,Zika,Autoinmune,0.85;69.25,19 - 35,Ambos,Vacunación,7700,S
Argentina,21/04/2020,Zika,Metabólica,0.76;95.74,19 - 35,Masculino,Medicación,32604,S
Italia,14/08/2021,Tuberculosis,Parasitaria,0.58;73.63,19 - 35,Femenino,Vacunación,7479,S
Italia,12/12/2021,Asma,Genética,0.36;92.6,61+,Femenino,Terapia,8752,N
China,05/07/2022,Enfermedad de Alzheimer,Cardiovascular,0.33;50.65,0 - 18,Femenino,Medicación,18752,S
EEUU,03/02/2021,Malaria,Cardiovascular,0.27;72.16,19 - 35,Masculino,Terapia,17487,S
Alemania,14/06/2021,Malaria,Parasitaria,0.27;71.17,19 - 35,Masculino,Cirugía,21701,S
Turquía,22/07/2024,Cólera,Genética,0.26;59.84,0 - 18,Femenino,Terapia,3329,S
Argentina,23/08/2020,Malaria,Crónica,0.2;70.54,19 - 35,Ambos,Cirugía,35748,N
Arabia Saudita,05/06/2022,Rabia,Neurológica,9.93;95.88,0 - 18,Masculino,Vacunación,4675,S
Argentina,20/10/2024,Ébola,Neurológica,9.56;60.13,61+,Femenino,Medicación,4649,N
Argentina,11/08/2024,Poliomielitis,Metabólica,9.48;65.09,36 - 60,Masculino,Vacunación,31138,N
Arabia Saudita,02/09/2023,VIH/SIDA,Autoinmune,9.45;70.78,36 - 60,Ambos,Terapia,49270,S
Francia,21/02/2021,Enfermedad de Parkinson,Crónica,9.41;76.64,19 - 35,Masculino,Terapia,28546,S
Arabia Saudita,12/01/2020,Sarampión,Infecciosa,9.14;75.3,0 - 18,Ambos,Cirugía,11412,S
India,27/07/2023,Asma,Genética,8.75;56.9,0 - 18,Femenino,Terapia,30050,S
India,07/08/2021,Rabia,Cardiovascular,8.7;73.56,35+,Femenino,Cirugía,4303,N
México,04/05/2022,Sarampión,Metabólica,8.68;78.29,0 - 18,Ambos,Vacunación,21596,N
Canadá,21/05/2024,Cólera,Bacteriana,8.65;87.6,19 - 35,Femenino,Terapia,27893,S
EEUU,07/03/2020,Dengue,Metabólica,8.59;87.63,61+,Femenino,Medicación,22979,N
Argentina,16/06/2020,Zika,Respiratoria,7.96;72.21,61+,Ambos,Medicación,16521,N
Brasil,12/04/2022,Rabia,Neurológica,7.79;81.37,36 - 60,Femenino,Medicación,38864,N
Korea del Sur,02/06/2024,VIH/SIDA,Neurológica,7.78;62.7,0 - 18,Femenino,Vacunación,24572,N
Nigeria,22/02/2022,VIH/SIDA,Cardiovascular,7.68;92.35,61+,Masculino,Cirugía,42726,N
Reino Unido,15/06/2023,Malaria,Infecciosa,7.6;98.49,0 - 18,Femenino,Terapia,26232,N
Arabia Saudita,18/01/2020,COVID-19,Cardiovascular,7.48;93.62,36 - 60,Ambos,Vacunación,22801,S
Nigeria,15/01/2023,Hepatitis,Metabólica,7.45;98.16,0 - 18,Femenino,Cirugía,32503,N
Reino Unido,21/06/2023,Cólera,Cardiovascular,7.38;87.13,35+,Masculino,Cirugía,13460,S
Australia,30/01/2024,VIH/SIDA,Bacteriana,7.35;79.03,0 - 18,Femenino,Terapia,33671,N
India,24/02/2023,Poliomielitis,Bacteriana,7.29;79.22,0 - 18,Ambos,Vacunación,17149,S
Reino Unido,13/07/2024,Zika,Viral,7.28;87.73,61+,Masculino,Vacunación,6569,S
Indonesia,11/03/2020,Enfermedad de Parkinson,Metabólica,7.19;90.46,0 - 18,Ambos,Terapia,34748,N
Arabia Saudita,21/04/2020,VIH/SIDA,Autoinmune,7.12;86.3,20+,Femenino,Terapia,39208,S
Reino Unido,12/06/2020,Ébola,Crónica,7;56.29,36 - 60,Femenino,Medicación,5404,S
Rusia,06/07/2022,COVID-19,Metabólica,6.48;88.5,61+,Masculino,Terapia,8219,N
Reino Unido,22/03/2024,COVID-19,Viral,6.47;82.1,19 - 35,Femenino,Terapia,34653,N
Turquía,16/07/2020,Rabia,Respiratoria,6.23;96.98,19 - 35,Femenino,Vacunación,7518,S
Turquía,21/06/2021,Asma,Parasitaria,6.19;98.33,35+,Ambos,Terapia,40346,N
Korea del Sur,18/03/2024,Diabetes,Cardiovascular,6.03;57.07,19 - 35,Femenino,Cirugía,21017,S
Rusia,14/09/2024,Lepra,Metabólica,5.91;76.48,61+,Femenino,Cirugía,43831,N
China,10/03/2021,VIH/SIDA,Genética,5.67;50.09,19 - 35,Femenino,Terapia,43495,N
Canadá,21/03/2020,Poliomielitis,Infecciosa,5.31;67.28,0 - 18,Femenino,Medicación,30727,N
Australia,10/06/2020,Enfermedad de Alzheimer,Cardiovascular,5.21;56.65,0 - 18,Ambos,Medicación,475,S
Brasil,11/09/2024,COVID-19,Autoinmune,5.17;89.25,0 - 18,Femenino,Terapia,36616,N
Canadá,01/01/2023,Gripe,Infecciosa,5.12;93.24,19 - 35,Ambos,Medicación,1547,N
Australia,25/02/2021,Ébola,Respiratoria,5.1;68.16,0 - 18,Ambos,Medicación,41009,N
Nigeria,29/06/2022,Hepatitis,Metabólica,4.55;77.95,61+,Femenino,Cirugía,41357,N
Sudáfrica,16/08/2022,VIH/SIDA,Respiratoria,4.21;58.23,36 - 60,Femenino,Cirugía,6303,S
Arabia Saudita,17/07/2023,Lepra,Infecciosa,4.15;85.55,61+,Ambos,Medicación,34904,N
Brasil,01/11/2021,Enfermedad de Alzheimer,Respiratoria,4.06;94.03,19 - 35,Femenino,Cirugía,6577,S
México,16/05/2021,Cólera,Viral,4.04;80.04,35+,Masculino,Cirugía,36671,N
Brasil,23/03/2024,Dengue,Bacteriana,3.92;72.29,19 - 35,Femenino,Cirugía,587,N
EEUU,30/12/2021,Cáncer,Cardiovascular,3.48;54.81,61+,Femenino,Terapia,28585,S
Arabia Saudita,23/02/2024,COVID-19,Viral,3.47;76.46,19 - 35,Femenino,Cirugía,14219,S
India,28/01/2024,Ébola,Neurológica,3.41;94.17,19 - 35,Femenino,Vacunación,37041,S
Korea del Sur,04/07/2021,VIH/SIDA,Metabólica,3.18;66.77,19 - 35,Masculino,Medicación,15948,S
China,16/04/2022,Tuberculosis,Respiratoria,3.15;53.68,36 - 60,Masculino,Vacunación,18177,S
Australia,21/03/2022,Cólera,Respiratoria,3;62.13,61+,Femenino,Vacunación,26835,S
Japón,22/09/2023,Hepatitis,Neurológica,2.84;93.77,19 - 35,Ambos,Cirugía,19634,S
México,17/12/2023,Poliomielitis,Viral,2.69;78.09,36 - 60,Ambos,Vacunación,3515,S
China,27/10/2020,Asma,Parasitaria,2.67;57.84,36 - 60,Femenino,Medicación,7909,S
Nigeria,16/06/2021,Enfermedad de Alzheimer,Bacteriana,2.65;54.52,0 - 18,Masculino,Cirugía,24586,S
India,09/07/2023,Cólera,Viral,2.61;51.79,36 - 60,Ambos,Medicación,47031,S
Argentina,06/07/2020,Asma,Viral,2.48;86.93,61+,Ambos,Medicación,13670,N
EEUU,09/05/2022,Zika,Neurológica,2.42;91.92,36 - 60,Masculino,Medicación,30098,N
Australia,03/01/2023,Enfermedad de Alzheimer,Metabólica,1.76;69.95,61+,Femenino,Medicación,46310,S
Brasil,15/02/2024,Tuberculosis,Parasitaria,1.71;58.57,0 - 18,Masculino,Cirugía,6808,N
Sudáfrica,12/04/2022,Hipertensión,Infecciosa,1.53;84.64,18+,Ambos,Terapia,44554,N
Canadá,02/11/2022,Ébola,Metabólica,1.32;94.57,36 - 60,Femenino,Cirugía,43176,S
Australia,21/12/2023,Diabetes,Viral,1.28;63.6,0 - 18,Masculino,Vacunación,571,S
Sudáfrica,04/12/2022,Enfermedad de Alzheimer,Respiratoria,1.12;57.26,36 - 60,Masculino,Terapia,1904,S
Brasil,02/09/2022,Dengue,Genética,0.78;88.34,61+,Femenino,Medicación,20929,S
Nigeria,26/05/2023,Rabia,Respiratoria,0.62;89.28,18+,Masculino,Terapia,43043,S
México,23/09/2024,Dengue,Infecciosa,0.53;52.54,36 - 60,Ambos,Cirugía,33736,S
Turquía,13/06/2024,Poliomielitis,Respiratoria,0.4;88.42,0 - 18,Femenino,Cirugía,6126,N
México,09/05/2020,Cólera,Bacteriana,0.23;81.91,36 - 60,Masculino,Cirugía,4175,S
Indonesia,02/08/2021,Poliomielitis,Viral,9.84;81.27,0 - 18,Femenino,Medicación,29177,N
Francia,19/07/2020,Gripe,Infecciosa,9.75;82.91,36 - 60,Ambos,Vacunación,3934,N
Reino Unido,07/03/2022,Enfermedad de Parkinson,Autoinmune,9.6;94.85,36 - 60,Masculino,Vacunación,40429,S
Brasil,09/08/2021,VIH/SIDA,Autoinmune,9.43;72.7,18+,Ambos,Cirugía,26805,S
Rusia,21/12/2021,Enfermedad de Parkinson,Bacteriana,9.41;92.46,19 - 35,Femenino,Medicación,40613,N
China,15/04/2023,Rabia,Cardiovascular,8.61;95.29,61+,Ambos,Vacunación,27218,N
Argentina,18/06/2022,Diabetes,Autoinmune,8.51;66.41,36 - 60,Masculino,Cirugía,36191,N
China,27/12/2022,Poliomielitis,Crónica,8.38;72.34,36 - 60,Ambos,Vacunación,646,S
Francia,05/01/2022,Hipertensión,Cardiovascular,8.34;85.03,0 - 18,Ambos,Terapia,3489,S
Australia,05/01/2024,Gripe,Infecciosa,8.16;93.99,0 - 18,Femenino,Cirugía,39338,S
Arabia Saudita,01/06/2022,Zika,Neurológica,7.72;64.21,36 - 60,Ambos,Vacunación,41863,N
Indonesia,20/03/2022,Asma,Parasitaria,7.57;85.6,61+,Ambos,Vacunación,34482,S
China,30/06/2022,Sarampión,Metabólica,7.43;57.76,61+,Masculino,Medicación,18567,N
Australia,27/11/2023,Hepatitis,Crónica,7.12;60.04,61+,Ambos,Cirugía,49537,N
Canadá,28/09/2021,Tuberculosis,Crónica,7.07;70.5,19 - 35,Ambos,Medicación,17636,S
Francia,04/04/2024,Hepatitis,Metabólica,7.04;96.47,36 - 60,Ambos,Cirugía,3854,S
Turquía,03/11/2023,Asma,Metabólica,6.88;80.43,36 - 60,Masculino,Medicación,42097,S
China,11/11/2020,Enfermedad de Alzheimer,Cardiovascular,6.87;51.76,19 - 35,Masculino,Cirugía,26445,S
Korea del Sur,28/07/2021,Ébola,Autoinmune,6.83;68.39,35+,Femenino,Terapia,40767,S
Sudáfrica,24/11/2022,Sarampión,Genética,6.69;71.18,35+,Masculino,Terapia,7839,N
Alemania,14/05/2022,Malaria,Bacteriana,6.54;75.42,0 - 18,Masculino,Terapia,37751,S
Argentina,27/08/2024,Hepatitis,Cardiovascular,6.54;65.8,61+,Ambos,Terapia,37159,N
México,08/01/2022,VIH/SIDA,Metabólica,6.34;89.49,61+,Femenino,Vacunación,30014,N
China,07/02/2022,Dengue,Autoinmune,5.99;66.69,61+,Masculino,Cirugía,49785,N
Reino Unido,17/06/2024,Cáncer,Viral,5.87;77.29,35+,Femenino,Medicación,13878,S
Korea del Sur,07/01/2024,Cólera,Autoinmune,5.55;52.17,0 - 18,Ambos,Terapia,43004,N
Rusia,31/10/2021,Asma,Crónica,5.49;67.12,19 - 35,Femenino,Medicación,39979,S
Japón,29/09/2021,Sarampión,Respiratoria,5.43;59.74,61+,Femenino,Medicación,42845,N
Sudáfrica,15/10/2021,VIH/SIDA,Respiratoria,5.38;70.81,0 - 18,Masculino,Terapia,9897,S
Brasil,14/03/2022,Zika,Parasitaria,5.23;59.01,19 - 35,Ambos,Medicación,27767,N
Italia,20/02/2020,Diabetes,Autoinmune,5.1;55.01,61+,Femenino,Medicación,35592,N
